source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,phot_variable_flag,l,b,teff_val,a_g_val,r_est,r_lo,r_hi,r_len
598884918290482944,132.88045383668657,0.2612659522773728,11.41982991934433,0.18891604310651872,1.110690361673541,0.3305126537940844,-3.4995683289818076,1.5614833566254152,19.041435,1.8462372,0.79273605,1.0535011,,,NOT_AVAILABLE,216.12893054593974,31.785731695813325,,,868.255243490218,660.986497173016,1224.90015456648,408.20828168233
598903365174974080,132.5681739563665,0.23298374639876268,11.581094123148135,0.14592812065374416,0.1124429860652197,0.27151570869603797,3.949285069351631,-5.033640433167287,18.928078,1.0260315,0.44091797,0.5851135,,,NOT_AVAILABLE,215.80558394887035,31.576128068563794,,,1917.22967342118,1411.34090498166,2671.58593774223,408.828455939288
598885193168390016,132.85881668477396,0.39097333366122927,11.43168086034505,0.25861047586373137,0.10302786238194106,0.4805016499322928,-1.1050799664923725,-0.832380638884753,19.461124,0.71175575,0.20088959,0.51086617,,,NOT_AVAILABLE,216.10576298763306,31.77150615759502,,,1472.97890474401,1006.68303308537,2210.81441474163,408.249152810249
598906251392995968,132.5261923168956,0.20531542257925284,11.578653758738783,0.1265175946959806,0.9873110378408896,0.25816982524005677,-10.82846717611007,-2.591344211118372,18.72108,2.4375687,1.2711067,1.166462,,,NOT_AVAILABLE,215.78789262146037,31.537785702894542,,,962.485034221344,758.975342595901,1289.14223588674,408.989626807571
598886700701910912,132.62313524551251,0.5377673876474979,11.377258113900021,0.316052641380611,0.018307669987121553,0.6297956825427536,-11.369510856917746,-2.267217644728264,20.32665,2.0527325,0.82050514,1.2322273,,,NOT_AVAILABLE,216.0491598829771,31.53909632225547,,,1349.22944594907,885.315541490354,2096.33102295356,409.287157626016
598956141734896000,132.4000357709367,0.7386046391528137,11.743025375190033,0.4262844815641885,0.6477430704117061,0.835591099374317,-10.463794158925081,-5.9034661381154105,20.492966,2.7416782,1.4522018,1.2894764,,,NOT_AVAILABLE,215.55206091446735,31.494607618584883,,,1004.05088048084,615.275618732581,1705.43782366558,408.922913584676
598888526063037952,132.60688738533563,0.3684680410558243,11.472571985351777,0.2477040766814176,0.053527182534397505,0.43332722103511656,-0.2860105241886337,-8.260454420950635,19.678196,1.0131817,0.38126755,0.63191414,,,NOT_AVAILABLE,215.93986517818746,31.564861217839777,,,1578.47564169594,1095.34599693501,2329.55969572283,409.038038347459
598905014442415616,132.48707740156397,0.727772402245373,11.580340248954489,0.47470388882427844,-0.5070579208320745,0.9942416270151492,-0.26218328963301873,1.7194912978864147,18.905169,1.4268875,-0.3603897,1.7872772,,,NOT_AVAILABLE,215.76720180878752,31.503725751073826,,,1244.48030086348,771.539866209542,2001.64669745667,409.126811576575
598905667279342080,132.45957506505752,7.081428371881485,11.587381131078617,2.2592844022749263,,,,,20.835476,0.7714691,-0.40062714,1.1720963,,,NOT_AVAILABLE,215.74642975034155,31.482237977120974,,,,,,
598905667277444864,132.45669483580576,0.2643043682970546,11.582617554166537,0.15927641800308606,1.2968895333493577,0.3257423036523472,-6.536445347511137,-17.70837370377061,19.097523,2.2698517,1.0627575,1.2070942,,,NOT_AVAILABLE,215.75010770965176,31.47767571175248,,,760.74280110596,595.464101709127,1034.98686606618,409.230149621644
