source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,phot_variable_flag,l,b,teff_val,a_g_val,r_est,r_lo,r_hi,r_len
573964242433330432,12.49308531170966,0.12489560601385422,85.35797753260132,0.0903578028648568,0.4046009267221341,0.11596831795021749,-1.938873155294544,-1.2866345062253448,18.017912,1.427288,0.6436062,0.78368187,,,NOT_AVAILABLE,122.89982795971767,22.48631885543468,,,2082.40862534025,1684.20181091752,2671.97348187656,568.282461747239
573954656066283136,10.28681239281543,0.10251249398039695,85.35296998859009,0.09102045923798142,0.5549796234233894,0.10359666977453355,1.783407454466269,2.5184392434155938,17.914011,1.3785038,0.63552284,0.74298096,,,NOT_AVAILABLE,122.70641545081132,22.485726446680463,,,1665.18943277063,1414.25994202968,2012.74509862105,569.058924641139
573943523511054464,11.92222137678884,0.3199181024673743,85.33110904784425,0.2576854021721621,0.6032747478550157,0.33443966683442405,-2.898648671879515,-0.8473046812074233,19.532906,1.9175549,0.9013748,1.01618,,,NOT_AVAILABLE,122.84937141219694,22.459959957595153,,,1411.90970798593,970.723652306582,2225.47644985471,569.052092077907
573980670683561216,10.40596044736669,0.4065484658516023,85.48196115007698,0.39389826473127,0.9484774012955557,0.44107870980306363,14.861643133249473,13.749878760246505,19.876665,2.1154194,1.0002766,1.1151428,,,NOT_AVAILABLE,122.72261522957174,22.61420010679955,,,1053.76498180246,699.549685323077,1798.75640349009,566.239962775619
573935762506268928,10.949144944719967,1.527561397205695,85.17857513978828,1.0354425676644572,1.395664583934463,1.3369666743637434,0.8015074590326965,-3.2364236609198764,20.595152,2.0219803,0.81113243,1.2108479,,,NOT_AVAILABLE,122.75839626765836,22.309399892703563,,,1007.92422295701,492.043139940549,2025.19139473148,572.708037089651
573942978052404992,11.859085653600356,0.04133499226776312,85.28211930778723,0.032866543572364584,0.5077088751283987,0.04260912574561696,-2.0639068322462566,-0.8821720009447974,16.127756,0.9399977,0.39841652,0.54158115,,,NOT_AVAILABLE,122.8429202474461,22.41106082241517,5409.0,0.4095,1848.83762487035,1712.27318971692,2008.16818679912,570.142396646051
573950949511673856,7.014825792971933,0.10551140260647238,85.26579117022963,0.10942542036488534,0.34484479870999624,0.10656011569887634,4.206657969921717,-0.6622326859984287,18.037159,1.125433,0.5006676,0.6247654,,,NOT_AVAILABLE,122.41100286826335,22.41770542786362,,,2331.68705939343,1883.57408606795,2989.67451008278,571.713045614498
573978364293556608,12.752349143057387,0.2780885273309108,85.6496472078263,0.22843584983400653,-0.04002496426757477,0.29558855459140815,-0.3299867493292744,-0.2031745679075256,19.7305,0.9780197,0.31232834,0.6656914,,,NOT_AVAILABLE,122.923106224517,22.777904541274737,,,2334.55461830413,1637.13678329073,3397.0078889764,561.996492351437
573936037385292032,10.691763506550789,0.044766344537872156,85.20137338318948,0.029934965421789455,0.7870098482742276,0.04015860383018193,-6.5384209110167655,4.418289176482898,15.924061,0.97117233,0.40624428,0.56492805,,,NOT_AVAILABLE,122.7359234374003,22.33292349250385,5374.0,0.1345,1225.05816722174,1166.40006711741,1289.78504127081,572.277240820051
573933284310223104,10.329257047874748,0.1046580206331821,85.06251334253312,0.08344033722726814,0.31148583057474316,0.10456241563889578,-2.075243231687333,2.212986213383762,17.983536,0.992527,0.43777847,0.55474854,,,NOT_AVAILABLE,122.69679439606979,22.19538451847311,,,2480.51717830367,1994.63229206036,3193.52220907138,575.485847344815
573936342327065088,13.108103406034735,0.4740788015412106,85.08326366767557,0.36775058906767744,0.7518300849663984,0.4845590386857276,-3.156074766483312,-0.4963118964724462,20.123285,1.9214706,0.8334789,1.0879917,,,NOT_AVAILABLE,122.95493692353647,22.211558112526465,,,1222.53272724843,780.619652448773,2102.01500791576,574.120779002899
