,index,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,bp_g,g_rp,r_med_geo,MST_cluster,cluster num.,prob,mass,ruwe,rv_template_fe_h,has_epoch_rv,teff_gspphot,distance_gspphot,radial_velocity,azero_gspphot,ag_gspphot,ebpminrp_gspphot,source_id.1,r_med_photogeo,logg_gspphot,logg_gspspec,mh_gspphot,mg_gspphot,mh_gspspec,alphafe_gspspec,fem_gspspec,Gmg,L
219,271,83.89829771335846,9.815270848443133,2.5242000357455865,2.084740347452457,-2.2572683424830404,17.06777,2.7992754,1.5716438,1.2276316,392.2575,1,0,0.9999851803989036,1.0,0.9499958,,False,3452.8843,428.1356,,1.1174,0.7168,0.4667,3337986013369738752,397.5017,4.2976,,-0.178,8.1492,,,,9.078388842753757,0.019982253438198806
220,272,83.81389420746493,9.81025091452459,2.6183727968859585,0.6185534337401831,-1.9370309263562815,16.76808,3.0439234,1.7710838,1.2728395,378.3512,1,1,0.9996487426452781,1.0,0.9913747,,False,3475.815,399.0033,,1.3698,0.8599,0.587,3337986494405621248,376.94122,4.243,,0.1591,7.8486,,,,8.858237401494224,0.0244740047168743
221,273,83.83336428984174,9.818369319205145,2.4654109645002897,1.1848917549422966,-2.108421600136458,16.686361,2.8707476,1.6212349,1.2495127,404.5999,1,1,0.8367373812618489,1.0,1.0193722,,False,3455.0156,489.1684,,1.2311,0.7819,0.5209,3337986636140305408,397.61584,3.9534,,-0.1404,7.3895,,,,8.645807615507092,0.029763017094870524
222,274,83.77891965915039,9.815946087969309,2.6878742855950075,1.0994918912642413,-2.1879988270333675,14.652182,1.9988585,0.988821,1.0100374,366.55737,1,1,0.9680440403646605,1.0,2.8231473,-0.75,False,,,47.056,,,,3337986739219528192,366.38434,,,,,,,,6.79922676247973,0.16304567948374968
223,275,83.81068446153198,9.834042717550574,2.40140968382167,0.5348988871970488,-1.9866327783793891,15.857974,2.5418005,1.3814707,1.1603298,408.66632,1,1,0.9982125110624389,1.0,1.099549,,False,3558.232,358.3922,,1.0249,0.6778,0.4172,3337986906722506112,409.80917,4.0118,,-0.5377,7.3355,,,,7.760305288092763,0.06727874548216232
224,276,83.79195035987766,9.842447886648523,2.5300350840348798,1.5781254662488815,-2.106159682227976,16.003254,2.4526243,1.3058681,1.1467562,388.56848,1,0,0.9718586447194468,1.0,1.043543,,False,,,,,,,3337986945377953280,388.3712,,,,,,,,8.018886717928705,0.05302068237929453
225,277,83.83929830132239,9.832367224004395,2.645487598671729,0.5142872882761556,-1.750882086418692,16.297438,2.7802057,1.553833,1.2263727,371.82468,1,1,0.9998071364205743,1.0,1.0204061,,False,3432.8647,355.7324,,1.2076,0.7732,0.5047,3337987009802010368,368.81555,4.0071,,-0.4342,7.6952,,,,8.409966650090595,0.03698395397456636
226,278,83.82154675823004,9.853165491165454,2.6068606603719373,0.7778655261037165,-1.9010911270494515,15.474002,2.339385,1.2289286,1.1104565,377.1855,1,1,0.9984788403921206,1.0,1.0209854,,False,,,,,,,3337987288975329920,376.4278,,,,,,,,7.554591091306103,0.08131367010920562
227,279,83.82575551594562,9.87338030837208,2.612347202022874,0.7033691098098834,-1.6628888243457858,16.65759,2.9640265,1.69874,1.2652864,375.24454,1,1,0.9981785223838661,1.0,1.0172627,,False,3472.5916,387.073,,1.2576,0.7912,0.5405,3337987392054541056,376.83557,4.2504,,0.1597,7.8696,,,,8.74274448840134,0.027220882733974106
228,280,83.84176751297765,9.881168441810294,2.6582210149773906,1.080418590868006,-2.26045662660095,18.186867,3.2588062,1.8837414,1.3750648,382.63458,1,1,0.9690434181332822,1.0,1.07472,,False,,,,,,,3337987495131445504,315.573,,,,,,,,10.309822435318512,0.006427928330638181
229,281,83.84247840608231,9.874312588262486,2.549859021516308,0.6677054922014062,-1.6290250472444971,14.766747,1.9614105,0.9743204,0.9870901,385.21286,1,1,0.9965243911425555,1.0,1.005736,-0.75,False,4759.4575,354.2559,73.23388,2.1198,1.5718,0.8626,3337987495133753472,385.72293,4.2381,,-1.0383,5.4219,,,,6.799327847522595,0.16303050018677542
230,282,83.96240609411076,9.850951183203575,2.663313454472703,0.9465637674381372,-1.9646031749508637,17.870213,3.3516464,2.0100327,1.3416138,376.3022,1,1,0.9974820674313696,1.0,1.0226153,,False,,,,,,,3337987696996935168,368.40976,,,,,,,,9.997324415252564,0.008571764561946126
231,283,83.91451942699287,9.842425595815143,2.454912682937896,0.8630935129586084,-2.3413189094378346,15.636788,2.7842464,1.5455446,1.2387018,400.54572,1,1,0.9902930307950035,1.0,2.7850776,,False,3461.8867,279.1875,,1.1853,0.7616,0.4948,3337987834435885056,403.994,4.0093,,-0.3648,7.5488,,,,7.586968248094044,0.07892465656416443
232,285,83.98149084144737,9.869367303337029,2.5044345819905143,1.9913735477820445,-2.3779649058118397,16.401117,2.7681284,1.5510597,1.2170687,393.90417,1,0,0.9999007784116548,1.0,1.1087167,,False,3566.1694,373.6143,,1.2118,0.7807,0.5077,3337988113609253248,388.4138,4.3132,,0.1264,7.7219,,,,8.3946654601205,0.03750885577095089
233,286,84.00338244287798,9.882505518015764,2.619576048744793,0.8129895521473323,-2.0971918000703185,17.675455,3.3863888,2.0514717,1.3349171,378.80585,1,1,0.9991067253324625,1.0,0.99197936,,False,,,,,,,3337988246752764544,379.49872,,,,,,,,9.766610054711588,0.010601223195059444
234,287,83.99158605424712,9.90910084097207,2.5931434551317447,0.566618240735994,-2.020118153211596,14.025755,1.9541931,0.9718895,0.9823036,378.1983,1,1,0.9998196277517718,1.0,3.6321821,0.0,False,5561.9565,441.8243,16.06943,2.7302,2.0752,1.1419,3337988555990424576,378.39774,3.9109,,-0.5267,3.7154,,,,6.094887715063089,0.3119212150872158
235,288,83.96391337071839,9.91977188806386,2.509003826483608,0.864550615881853,-1.6714401167486383,14.83207,2.3276644,1.2250147,1.1026497,389.68677,1,1,0.9870924273588465,1.0,1.0228126,-1.0,False,,,30.8818,,,,3337988594645583104,391.66043,,,,,,,,6.829576618289771,0.15855113404377422
236,289,83.86990761277133,9.9028039791984,2.53673532588428,0.252492145678703,-1.816704500839267,18.536562,3.3669662,1.9519005,1.4150658,399.15604,1,1,0.9998874162671716,1.0,1.0665337,,False,,,,,,,3337989037026608512,346.45154,,,,,,,,10.557937784070202,0.00511475559834951
237,290,83.9309061633136,9.90743637576191,2.4954440578321395,0.7601794957112963,-2.0483289805275517,17.6068,3.3410873,2.0218563,1.319231,392.38687,1,1,0.9978912005375552,1.0,1.0255805,,False,3471.993,503.9421,,1.714,1.0473,0.7545,3337989208825452800,396.3614,4.2704,,0.3919,7.9704,,,,9.5925391920944,0.012444696890234665
238,291,83.93691737552633,9.923416323781732,2.5642652981595138,0.7471532045153554,-1.8416433717884888,10.294784,0.36050034,0.12390709,0.23659325,385.23004,1,1,0.9986501141839076,3.0,1.1600657,0.25,False,7706.565,341.7011,26.253765,0.126,0.1148,0.0612,3337989316200730240,385.23154,4.1982,,-0.2954,2.4262,,,,2.3395987757751318,9.911981657493042
239,292,83.75269463456206,9.86418758657144,2.582918289033536,0.7724561633483858,-2.061503034370568,15.507177,2.3256788,1.2013321,1.1243467,379.85803,1,1,0.9980935654655926,1.0,1.0688808,-0.25,False,3670.5417,360.3453,6.4105844,0.9534,0.6449,0.3807,3337990072114146560,379.22913,4.0172,,-0.5825,7.0093,,,,7.567730337132261,0.08033556735344172
240,293,83.80076298424518,9.884753477152676,2.5443311212520068,0.6115181328927705,-2.053088976951074,16.520563,2.7426548,1.5244064,1.2182484,384.82758,1,1,0.9993889017870141,1.0,0.9983146,,False,3526.0012,386.8622,,1.0333,0.664,0.4374,3337990415711519104,386.07004,4.3271,,0.12,7.8767,,,,8.54843115039837,0.032555737633052355
241,294,83.84235226256493,9.899613181083645,2.5627355193586783,0.5379187305091375,-2.197796125041416,15.88079,2.4961767,1.3339281,1.1622486,381.7734,1,1,0.9996661785281756,1.0,0.953615,,False,3548.6848,356.4289,,0.959,0.6345,0.3913,3337990484430985856,381.37503,4.0248,,-0.56,7.4138,,,,7.924308941163243,0.0578464116136765
242,295,83.83966378821744,9.891439856468136,2.650133491234161,0.2679562997061018,-1.427657969084956,17.66778,3.1009026,1.7892361,1.3116665,370.1157,1,1,0.999738539936327,1.0,1.0452898,,False,3215.1743,359.3956,,0.7862,0.4795,0.3451,3337990484430988032,397.11218,4.4824,,0.4779,9.3158,,,,9.78411875279012,0.010431637788044377
243,296,83.81694464182779,9.893738003710702,2.538011004711957,0.8494355912569591,-1.990122048799092,15.685129,2.4483757,1.3113785,1.1369972,386.8004,1,1,0.9953851277494996,1.0,1.0734698,,False,,,,,,,3337990518790730624,387.26416,,,,,,,,7.707596504229436,0.07062547769494404
244,297,83.82974809456469,9.911773510923767,2.597011081772347,0.3550442399001276,-2.001236551015375,16.958117,2.8845148,1.6224098,1.262105,384.05286,1,1,0.9999409665312582,1.0,1.0295936,,False,3468.263,424.3451,,1.2549,0.7899,0.5386,3337990553150462080,375.6901,4.2944,,0.1608,7.9743,,,,9.03048601411169,0.020883610969463045
245,298,83.82475507278755,9.904641808700854,2.4505524753289047,0.7208758533595159,-2.1028167372155875,15.256308,2.2549543,1.1700172,1.0849371,401.3502,1,1,0.9969231873004257,1.0,1.0370393,,False,3744.8596,383.0948,,0.8261,0.5605,0.3294,3337990553150464640,398.19562,4.0187,,-0.2449,6.6992,,,,7.2026280339407975,0.11244723642993197
246,300,83.80223963225738,9.922092133189208,2.5121458966786587,1.110025301820854,-1.408608148944788,15.155541,2.5292292,1.3651876,1.1640415,390.21976,1,0,0.666820564258212,1.0,1.1900392,0.25,False,,,-127.44372,,,,3337990823733216000,388.86554,,,,,,,,7.155765290537791,0.11740697100453602
247,301,83.80610458437717,9.923686016584984,2.5493558446062927,0.4071023755648877,-2.4136142743163305,14.409567,2.0152578,1.0149431,1.0003147,385.49277,1,1,0.9995315399349368,1.0,1.091708,0.0,False,6138.2886,392.4267,10.732363,3.2442,2.4905,1.3855,3337990828028370944,384.03687,4.1407,,-0.9661,3.9555,,,,6.44171929732048,0.22662732941481964
248,302,83.801209769208,9.920320168901602,2.5564815060754853,0.5568467070720057,-2.4149924597910157,17.579542,2.9085407,1.57798,1.3305607,387.4075,1,1,0.9988015565858277,1.0,1.0369484,,False,,,,,,,3337990828028611200,395.83966,,,,,,,,9.617755276651685,0.012159000864494646
249,303,83.74318950870266,9.896425003840555,2.7154310934144945,0.7349666453827469,-1.8750837624731087,16.489058,3.2130032,1.9022655,1.3107376,361.72256,1,1,0.9995631693946601,1.0,1.0983022,,False,3530.869,332.7115,,1.637,1.0126,0.7146,3337991034186817024,368.114,4.2609,,0.391,7.7768,,,,8.658251933213577,0.029423831626434423
250,304,83.7195128136836,9.90845912201474,2.5631976163713217,1.5950891861385796,-1.9109010523462724,17.206123,2.852563,1.6084003,1.2441626,390.03073,1,0,0.9886330954517771,1.0,1.0597073,,False,3491.2861,486.6198,,1.1854,0.7543,0.5025,3337991270409603968,392.53592,4.3275,,0.1136,7.9757,,,,9.250033452675247,0.017060298236188036
251,305,83.71917455396407,9.93055322113116,2.6683451381654164,1.0471006737450077,-1.6989496386049314,16.735504,2.682866,1.4717693,1.2110968,369.99683,1,1,0.9629817773395994,1.0,1.0713667,,False,3488.8088,425.4785,,0.9246,0.5884,0.3998,3337991373488829440,367.64105,4.3232,,0.1868,7.9775,,,,8.866714014353033,0.02428367401528177
252,306,83.77201154761367,9.92079412505092,2.59661111122811,1.1387963864744433,-2.6931034035848125,14.804715,2.0030203,0.9745054,1.0285149,379.16492,1,0,0.7847014475633798,1.0,1.1280916,0.0,False,4515.913,334.3497,-8.050734,2.0056,1.4645,0.7969,3337991446503668224,378.90506,4.1811,,-1.0548,5.7145,,,,6.87674955582001,0.15180992918189296
253,307,83.78401315298368,9.926223491582034,2.539495071776566,1.9439797376775925,-2.0070760155796705,10.511529,0.88109016,0.34850502,0.53258514,388.79666,1,0,0.9999425069843626,3.0,0.9445833,-1.0,False,6160.512,409.9181,28.415794,0.4413,0.3722,0.2006,3337991549582880640,388.7059,3.662,,-0.3351,2.0467,,,,2.535265871800007,8.277394445595139
254,308,83.78534317214339,9.93501881683347,2.46822538969732,0.984094441825616,-1.9857288139332636,5.46444,-0.227386,-0.10693216,-0.120453835,396.18225,1,1,0.968706253646297,3.0,1.324862,,False,21454.701,583.9896,,0.2108,0.2129,0.1151,3337991583942616704,,3.5227,,-0.5005,-3.6381,,,,-2.573635922885213,915.0701088152861
255,309,83.76249715121287,9.93465665213068,2.5349663725856373,1.1960579525199808,-2.146793427996777,9.672152,0.11719799,0.032247543,0.08495045,390.90817,1,1,0.7791862019492791,3.0,1.2645384,0.25,False,,,17.111105,,,,3337991618302359296,390.40912,,,,,,,,1.6920130130265312,17.996779465153956
256,310,83.76142304044454,9.946552347840512,2.483266651494401,0.5191702537379748,-2.0667210227818376,15.660328,2.697585,1.485733,1.2118521,393.80377,1,1,0.9993712235913921,1.0,1.0525522,-1.0,False,,,-38.995213,,,,3337991824460787072,394.18875,,,,,,,,7.635444781532067,0.07547829607425868
257,311,83.77069514720749,9.948931719939711,2.672667774738805,0.4743704509799627,-2.0361407460434675,15.991768,2.4857702,1.3244781,1.1612921,370.55542,1,1,0.9999392220858889,1.0,1.0833519,,False,3558.9998,352.7256,,0.9702,0.6435,0.3942,3337991858820523264,370.45477,4.0967,,-0.5589,7.538,,,,8.126492886253914,0.04801786491352758
