source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,phot_variable_flag,l,b,teff_val,a_g_val
5.98664E+17,132.9049528,3.88321673,10.93906144,3.214113461,,,,,20.755526,1.3362827,-0.71471786,2.0510006,,,NOT_AVAILABLE,216.6525854,31.60353523,,
5.98866E+17,132.1509388,0.777171614,11.15563907,0.560910855,0.708743471,0.96603542,-0.851890354,-8.521587997,20.323458,1.7615795,0.6625023,1.0990772,,,NOT_AVAILABLE,216.0549263,31.02572605,,
5.98848E+17,132.3670505,0.816721596,11.04527326,0.547156284,0.256842885,0.975522547,0.971508256,-3.387299367,20.342234,2.1285934,1.0045357,1.1240578,,,NOT_AVAILABLE,216.2767257,31.17092585,,
5.98623E+17,133.2018059,3.238721069,10.93526354,4.547242503,,,,,20.983301,1.7888393,0.56677246,1.2220669,,,NOT_AVAILABLE,216.8028013,31.86553135,,
5.9867E+17,132.8201275,22.29701047,11.04085876,12.21670835,,,,,21.34935,,,,,,NOT_AVAILABLE,216.5028309,31.5715479,,
5.98852E+17,132.3296073,0.106773722,11.10569816,0.076442631,0.766255633,0.145851962,-1.380622652,-15.34960728,17.53229,1.4163189,0.65110016,0.76521873,,,NOT_AVAILABLE,216.1945553,31.16331491,,
5.98644E+17,132.7441628,0.066734004,10.92989913,0.043001379,0.927159739,0.081501952,-8.41838651,-12.97228434,16.800938,1.1825142,0.5094242,0.67309,,,NOT_AVAILABLE,216.5833469,31.45682399,4890,0.091
5.9868E+17,132.6837416,0.095676851,10.99124691,0.059387071,1.59070576,0.122875393,-7.533317123,-0.822499412,17.39298,1.9279499,0.9436798,0.9842701,,,NOT_AVAILABLE,216.4886727,31.42928923,,
5.98687E+17,132.7257577,11.40718713,11.17335627,2.147321297,,,,,20.936335,1.3786297,-0.024662018,1.4032917,,,NOT_AVAILABLE,216.3159021,31.54399395,,
5.98652E+17,132.41747,0.278919655,10.9094086,0.193399545,-0.144630933,0.387020544,-0.42296794,-3.834670165,19.033163,0.71101,0.21943474,0.49157524,,,NOT_AVAILABLE,216.4450266,31.15790636,,
