RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,Gmag,BP-RP
132.6208535,11.63591156,5.99E+17,215.7726331,31.64598688,1.0624,13.658506,0.749091
132.7142038,11.44836221,5.99E+17,216.0177014,31.65003115,1.209,16.645105,1.520637
132.3947972,11.7880741,5.99E+17,215.5015601,31.50880898,1.079,14.202843,0.81084
132.7420999,11.47352842,5.99E+17,216.0044316,31.68543242,1.1781,17.073927,1.62438
132.796507,11.4430165,5.99E+17,216.0633782,31.72091763,1.1491,13.723153,0.758015
132.8251507,11.44137434,5.99E+17,216.0790532,31.74567925,1.1301,13.111919,0.749411
132.6239374,11.50348416,5.99E+17,215.9152185,31.5930368,1.2203,17.831123,1.87608
132.6341496,11.53016075,5.99E+17,215.8917546,31.61334451,1.168,15.203735,1.216549
132.5957908,11.62168637,5.99E+17,215.7756858,31.61773415,1.1496,14.868279,0.94918
132.8075095,11.36385539,5.99E+17,216.1530827,31.69727517,1.0541,15.32163,1.043626
132.3022526,11.75868438,5.99E+17,215.4883997,31.41422744,1.0804,17.905973,2.100767
132.6657089,11.50508662,5.99E+17,215.9337535,31.63083709,1.1988,16.636137,1.612265
132.6747362,11.55728869,5.99E+17,215.8825039,31.66083347,1.1399,17.424957,1.855011
132.5484634,11.48183879,5.99E+17,215.9016998,31.51683962,1.2233,17.020472,1.616392
132.7341809,11.47544367,5.99E+17,215.9985468,31.67920204,1.1403,15.741884,1.179548
132.4044149,11.70076316,5.99E+17,215.5991669,31.48079207,1.2513,16.690954,1.548509
132.3890809,11.58836615,5.99E+17,215.7113653,31.41998772,1.1828,16.24823,1.327925
132.551988,11.45456532,5.99E+17,215.9324196,31.50847977,1.2541,14.848789,0.945503
132.4298908,11.7523501,5.99E+17,215.5564875,31.52505566,1.0045,17.614922,1.857538
132.5178687,11.64972342,5.99E+17,215.7081922,31.56024066,1.1355,17.181368,1.950884
132.3923678,11.67633579,5.99E+17,215.6193677,31.45983929,1.0606,16.005287,1.266616
132.3387674,11.74990627,5.99E+17,215.5152826,31.44301726,1.2622,16.76556,1.529651
132.3551417,11.76547509,5.99E+17,215.5065761,31.46409353,1.0789,15.625475,1.126605
132.6753818,11.43983903,5.99E+17,216.007932,31.61193565,1.2,13.429057,0.728879
132.7749577,11.42927973,5.99E+17,216.0675442,31.69597266,1.1546,13.410056,0.758937
132.6139688,11.57862887,5.99E+17,215.830354,31.61579677,1.1302,17.008768,1.729973
132.6329539,11.53067003,5.99E+17,215.8906331,31.61249612,1.2601,17.837914,1.853849
132.6817763,11.49240038,5.99E+17,215.955057,31.63977346,1.1623,15.381919,1.075037
132.6326654,11.5020939,5.99E+17,215.9209277,31.60020855,1.1431,15.399152,1.079772
132.6407538,11.57257827,5.99E+17,215.8497595,31.63706018,1.1395,13.571538,0.756291
132.6449488,11.57454888,5.99E+17,215.8496894,31.64161754,1.2605,16.033808,1.250421
132.5553567,11.62251929,5.99E+17,215.7552666,31.58214208,1.0922,15.719631,1.144
132.6626511,11.50197934,5.99E+17,215.9355813,31.62681074,1.1487,16.01952,1.246571
132.5399376,11.64497595,5.99E+17,215.7238988,31.57786566,1.1496,14.344937,0.832712
133.1172023,11.48440749,6.05E+17,216.1752855,32.02334892,1.0132,17.177279,1.68585
133.0834211,11.46006042,6.05E+17,216.1848483,31.98306187,1.0896,12.250184,1.146099
133.0207655,11.38309965,6.05E+17,216.2364993,31.89489426,1.0844,16.582664,1.717076
133.0854926,11.53409143,6.05E+17,216.1066995,32.01611389,1.2454,16.387688,1.520373
133.1497936,11.62353292,6.05E+17,216.0422479,32.11090033,1.1772,14.841743,0.958832
133.1859697,11.64480461,6.05E+17,216.0370487,32.15199269,1.0238,16.454544,1.409156
133.2508821,11.68123388,6.05E+17,216.029555,32.22498793,1.0979,14.867804,0.964668
133.0376886,11.46710464,6.05E+17,216.1550324,31.94539725,1.1556,13.153452,0.741064
133.3019367,11.62106383,6.05E+17,216.1189489,32.24506294,1.0607,17.255959,1.70661
133.1614018,11.6275557,6.05E+17,216.0435837,32.12290781,1.1406,16.672817,1.526785
133.1281019,11.48490105,6.05E+17,216.1800712,32.03324196,1.0923,14.313306,0.839441
133.1859803,11.43037128,6.05E+17,216.2666383,32.0616554,1.1362,13.768861,0.754162
133.333805,11.72094493,6.05E+17,216.0272604,32.31535709,1.0153,16.875517,1.568577
